Media_source,Total_attributions,Installs,Clicks,Event_unique_users_sse_goa_any_firstinttxndone,Event_count_sse_goa_any_firstinttxndone,Event_unique_users_sse_goa_any_fx_cardordered,Event_count_sse_goa_any_fx_cardordered,Event_unique_users_referral_eligible,Event_count_referral_eligible
canbdylml_int,"9,005","9,005","14,953,286",7,7,21,21,14,14
airlinekir4i_int,"6,829","6,829","13,370,782",5,5,28,29,30,30
hulumomtaxx_int,"5,757","5,757","10,347,037",2,2,11,11,8,8
meetads_int,"5,022","3,072","6,821,640",54,54,49,49,10,10
mobcpi94_int,"2,783","1,015","18,880,261",11,11,17,18,7,7
mobcpi6q_int,"2,743","1,036","18,880,124",12,12,21,21,10,11
wirelesshdk_int,"2,714","2,714","7,467,758",1,1,6,6,4,4
mobcpixh_int,"2,712","1,030","18,692,716",19,20,15,15,7,7
xinandintnag_int,"2,563","2,563","6,823,971",1,1,5,5,9,9
qpiafg_int,"2,301","2,301","15,808,399",3,3,16,16,17,17
latimobizv_int,"2,183","2,183","7,569,442",2,2,6,6,7,7
irelandlsg_int,"1,746","1,746","3,857,390",,,3,3,4,4
famerise6m_int,"1,629","1,629",,35,35,102,104,85,88
kktdlov6_int,"1,440","1,440","2,594,393",,,1,1,2,2
twyxek_int,"1,397","1,397","8,416,134",2,2,5,5,8,8
cheersads48_int,"1,370","1,370","2,406,360",,,2,2,,
magicclubab_int,"1,314","1,314","2,429,916",,,1,1,1,1
miracleos3qj_int,"1,259","1,259","2,398,862",2,2,2,2,1,1
cardsw5v_int,"1,035","1,035","2,711,486",,,1,1,,
digitaladri_int,"1,013","1,013",,16,16,51,52,58,59
mgwzd_int,954,954,"5,520,287",,,3,3,1,2
tokyok0h_int,841,841,"2,986,756",2,2,2,2,2,2
bidallwddu_int,636,636,"989,641",1,1,1,1,1,1
handiness6i_int,603,603,"994,433",,,2,2,,
btamobe4_int,543,543,"911,022",,,,,1,1
generateama_int,257,257,,3,3,10,10,10,10
skylinemodn_int,177,177,"14,353,694",6,6,22,22,26,26
monlitticw8_int,164,164,"1,229,603",,,1,2,,
calciumob5v_int,148,148,"14,352,537",2,2,16,16,17,17
ocean2z_int,130,130,"967,254",,,1,1,1,1
brandstorm_int,44,44,,,,,,2,2
adbridgeld_int,22,22,,1,1,,,,
adventuromg_int,13,13,"18,245,979",,,,,,
smartapppl7_int,,,1,,,,,,
adstagmedqi_int,,,1,,,,,,
funnetads_int,,,1,,,,,,
